EOB CODE,EOB CODE DESCRIPTION,CLAIM ADJUSTMENT REASON CODE,ADJUSTMENT REASON CODE DESCRIPTION,REMITTANCE ADVICE REMARK CODE,REMARK CODE DESCRIPTION,Category,Appeal_Strategy,Medical Documents Required as an attachment,Appeal Template to be used,Payer_Notes and Guidliens to be noted
CO,Contractual Obligation,16,Claim/service lacks information,M15,Missing diagnosis information,Documentation,Submit corrected claim with missing information,Progress notes and diagnosis documentation,documentation_template,Verify required claim fields before resubmission
CO,Contractual Obligation,50,Medical necessity,M51,Missing medical record for review,Medical Necessity,Provide clinical documentation supporting necessity,Progress notes treatment plan lab reports,medical_necessity_template,Reference payer medical policy guidelines
CO,Contractual Obligation,197,Authorization required,N290,Missing prior authorization,Authorization,Request retro authorization or submit valid auth number,Authorization approval referral notes,authorization_template,Follow payer authorization policy
CO,Contractual Obligation,29,Timely filing,N123,Submission past filing deadline,Timely Filing,Provide proof of timely submission,Clearinghouse report claim submission proof,timely_filing_template,Attach clearinghouse acceptance report
CO,Contractual Obligation,18,Duplicate claim,M86,Duplicate service,Duplicate Claim,Provide proof claim not duplicate,Original claim details EOB copy,duplicate_claim_template,Include original claim number
CO,Contractual Obligation,96,Non-covered charge,N130,Service not covered under plan,Coverage Issue,Provide policy coverage justification,Clinical documentation policy reference,coverage_review_template,Verify member plan coverage
CO,Contractual Obligation,11,Diagnosis inconsistent with procedure,M76,Diagnosis code missing,Coding Error,Correct ICD CPT mismatch and resubmit,Corrected claim clinical notes,coding_correction_template,Validate CPT ICD compatibility
CO,Contractual Obligation,4,Procedure inconsistent with modifier,N211,Missing modifier,Modifier Issue,Correct modifier usage and resubmit,Corrected claim modifier documentation,modifier_correction_template,Check modifier guidelines
CO,Contractual Obligation,109,Claim not covered by payer,N432,Member coverage terminated,Eligibility,Verify patient eligibility and correct payer,Eligibility verification record,eligibility_template,Confirm coverage dates
CO,Contractual Obligation,151,Payment adjusted because precertification absent,N361,Authorization missing,Authorization,Submit retro authorization request,Authorization referral notes,authorization_template,Include ordering provider details
CO,Contractual Obligation,97,Service not covered with this diagnosis,N362,Diagnosis policy conflict,Medical Necessity,Provide supporting clinical documentation,Clinical guidelines progress notes,medical_necessity_template,Reference payer LCD/NCD policy
CO,Contractual Obligation,204,Service not covered under plan,N386,Plan exclusion,Coverage Issue,Review plan coverage and appeal if applicable,Policy documents clinical justification,coverage_review_template,Attach plan benefit reference
CO,Contractual Obligation,45,Charge exceeds fee schedule,N20,Service priced per contract,Contractual Adjustment,Review payer contract and dispute if incorrect,Provider contract fee schedule,contract_review_template,Attach contract clause reference
CO,Contractual Obligation,22,Payment adjusted due to coordination of benefits,N89,Other insurer primary,COB Issue,Submit COB details and primary EOB,Primary payer EOB COB form,cob_template,Verify primary payer information
CO,Contractual Obligation,167,Diagnosis not covered,N382,Policy diagnosis restriction,Medical Necessity,Provide documentation supporting diagnosis relevance,Clinical notes diagnostic reports,medical_necessity_template,Reference payer coverage policy
CO,Contractual Obligation,252,Attachment missing,N217,Missing documentation,Documentation,Submit requested documentation,Operative report progress notes,documentation_template,Ensure documentation completeness
CO,Contractual Obligation,198,Precertification absent,N290,Authorization missing,Authorization,Submit retro authorization documentation,Authorization referral notes,authorization_template,Confirm authorization policy
CO,Contractual Obligation,26,Expenses incurred prior to coverage,N522,Coverage start issue,Eligibility,Verify coverage start date and correct claim,Eligibility record coverage letter,eligibility_template,Attach enrollment confirmation
CO,Contractual Obligation,27,Expenses incurred after coverage,N523,Coverage termination issue,Eligibility,Verify termination date and resubmit if error,Eligibility proof eligibility check,eligibility_template,Confirm active coverage
CO,Contractual Obligation,55,Procedure bundled,N386,Bundled service,Coding Error,Review bundling rules and correct coding,Corrected claim CPT guidelines,coding_correction_template,Check NCCI edits
CO,Contractual Obligation,119,Benefit maximum reached,N362,Policy limitation,Benefit Limit,Request reconsideration with medical justification,Clinical notes policy documentation,benefit_limit_template,Reference medical exception rules
CO,Contractual Obligation,49,These are non-covered services,N130,Non-covered benefit,Coverage Issue,Provide policy coverage justification if applicable,Clinical documentation coverage policy,coverage_review_template,Confirm benefit coverage
CO,Contractual Obligation,148,Information from another provider needed,N306,Additional documentation required,Documentation,Submit requested provider records,Referral notes external reports,documentation_template,Include referring physician notes
CO,Contractual Obligation,125,Submission/billing error,N370,Billing error,Billing Error,Correct billing error and resubmit claim,Corrected CMS1500 claim form,billing_error_template,Verify claim formatting
CO,Contractual Obligation,208,National provider identifier missing,N382,NPI missing,Provider Information,Update provider identifier and resubmit,Corrected claim provider credentials,provider_update_template,Verify NPI registry
CO,Contractual Obligation,242,Services not documented,N417,Documentation insufficient,Documentation,Provide medical record documentation,Progress notes diagnostic results,documentation_template,Ensure record completeness
CO,Contractual Obligation,246,Service not paid separately,N386,Bundled service,Coding Error,Review bundling guidelines,Corrected CPT coding documentation,coding_correction_template,Check NCCI bundling rules
CO,Contractual Obligation,96,Service not covered,N130,Plan exclusion,Coverage Issue,Review coverage policy and appeal if justified,Clinical notes policy reference,coverage_review_template,Verify payer benefit coverage
CO,Contractual Obligation,222,Duplicate service,N86,Duplicate claim,Duplicate Claim,Provide documentation service performed once,Original claim EOB service record,duplicate_claim_template,Confirm unique claim submission
CO,Contractual Obligation,236,Date of service invalid,N365,Invalid service date,Billing Error,Correct date of service and resubmit,Corrected claim clinical record,billing_error_template,Verify encounter date
CO,Contractual Obligation,181,Procedure code invalid,N95,Invalid CPT,Coding Error,Correct CPT coding error,Corrected claim CPT reference,coding_correction_template,Validate CPT coding
CO,Contractual Obligation,234,Procedure not paid separately,N386,Bundled service,Coding Error,Review bundling policy,Corrected CPT documentation,coding_correction_template,Check payer bundling edits
CO,Contractual Obligation,251,Attachment required,N217,Missing documentation,Documentation,Submit requested attachments,Operative report clinical notes,documentation_template,Include requested records
CO,Contractual Obligation,5,Procedure inconsistent with patient age,N197,Age restriction,Coding Error,Verify patient eligibility and coding,Corrected claim clinical notes,coding_correction_template,Check age guidelines
CO,Contractual Obligation,7,Procedure inconsistent with gender,N197,Gender restriction,Coding Error,Verify gender coding compliance,Clinical notes patient demographics,coding_correction_template,Check gender restrictions
CO,Contractual Obligation,15,Authorization expired,N361,Authorization expired,Authorization,Request new authorization,Authorization referral documentation,authorization_template,Follow payer auth validity rules
CO,Contractual Obligation,20,Service not covered under plan,N130,Plan exclusion,Coverage Issue,Review policy coverage documentation,Policy reference clinical justification,coverage_review_template,Verify coverage rules
CO,Contractual Obligation,40,Charges do not meet fee schedule,N20,Contract rate issue,Contractual Adjustment,Submit contract rate review request,Contract agreement fee schedule,contract_review_template,Include provider contract
CO,Contractual Obligation,109,Member coverage inactive,N432,Member eligibility issue,Eligibility,Verify eligibility and update claim,Eligibility verification screenshot,eligibility_template,Confirm coverage dates
CO,Contractual Obligation,197,Authorization missing,N290,Missing prior authorization,Authorization,Submit retro authorization request,Referral authorization notes,authorization_template,Check payer authorization guidelines
